Respondent_ID,Churn_reason,Market,Gender,AOV,App_use,Date,Age_group,Churn_type,Orders_5y
8757883007102068,Reason for Account Suspension Issues,Spain,Male,116,1,2023-02-01,Age 55+,Account Suspension Issues,23
5031848643565790,Reason for Late payment penalties,Sweden,Male,107,1,2023-03-01,Age 55+,Late payment penalties,21
5955607083101374,Reason for High interest rates,USA,Female,132,0,2023-04-01,Age 35-44,High interest rates,15
2151437593857129,Reason for Better alternatives,Australia,Female,113,1,2023-06-01,Age 55+,Better alternatives,19
9903886206970974,Reason for Lack of need,Germany,Female,124,1,2023-06-01,Age 18-24,Lack of need,17
8932174807710095,Reason for Hard Credit Checks,Sweden,Female,119,1,2023-03-01,Age 18-24,Hard Credit Checks,16
1654636850876194,Reason for Negative Customer Service Experiences,UK,Male,123,0,2023-02-01,Age 55+,Negative Customer Service Experiences,21
8145642679673064,Reason for Security Concerns,Sweden,Female,113,0,2023-01-01,Age 55+,Security Concerns,22
2173263358363761,Reason for Hard Credit Checks,Italy,Female,105,0,2023-02-01,Age 25-34,Hard Credit Checks,17
8981981208927438,Reason for Account Suspension Issues,Sweden,Female,114,1,2023-03-01,Age 18-24,Account Suspension Issues,21
8471029250337470,Reason for Account Suspension Issues,Spain,Male,123,0,2023-05-01,Age 35-44,Account Suspension Issues,13
9364855591389946,Reason for Limited acceptance,USA,Female,94,1,2023-05-01,Age 25-34,Limited acceptance,18
4234194042083469,Reason for High interest rates,Sweden,Male,132,0,2023-03-01,Age 35-44,High interest rates,17
5743926483259119,Reason for Hard Credit Checks,Spain,Female,106,0,2023-06-01,Age 55+,Hard Credit Checks,24
8224670916805536,Reason for High interest rates,UK,Female,127,1,2023-05-01,Age 35-44,High interest rates,24
9959143689435146,Reason for Better alternatives,Italy,Female,115,1,2023-05-01,Age 18-24,Better alternatives,26
8673701775688117,Reason for Security Concerns,USA,Male,114,1,2023-03-01,Age 55+,Security Concerns,17
8537894763422960,Reason for Hard Credit Checks,Germany,Male,128,0,2023-06-01,Age 25-34,Hard Credit Checks,26
3273693797230154,Reason for High interest rates,Spain,Male,105,1,2023-06-01,Age 35-44,High interest rates,24
7336320072291141,Reason for General sentiment,Spain,Female,129,0,2023-02-01,Age 25-34,General sentiment,20
2413193978361424,Reason for Negative Customer Service Experiences,Italy,Male,114,1,2023-01-01,Age 55+,Negative Customer Service Experiences,27
8798098055067007,Reason for Hard Credit Checks,Sweden,Male,117,0,2023-01-01,Age 35-44,Hard Credit Checks,16
9975638055140378,Reason for Security Concerns,Sweden,Male,113,0,2023-01-01,Age 18-24,Security Concerns,28
5813588281434498,Reason for High interest rates,Germany,Female,124,0,2023-03-01,Age 18-24,High interest rates,24
3644792176294672,Reason for Unclear terms,Sweden,Male,136,0,2023-06-01,Age 45-54,Unclear terms,17
3920219346030990,Reason for Unclassified,Australia,Male,111,0,2023-01-01,Age 35-44,Unclassified,19
2644831783180610,Reason for Technical Issues,Sweden,Female,105,0,2023-03-01,Age 18-24,Technical Issues,29
