Respondent_ID,Churn_reason,Market,Gender,AOV,App_use,Date,Age_group,Churn_type
3565530046251045,Reason for Lack of need,France,Male,116,0,2023-04-01,Age 45-54,Lack of need
6337964270116344,Reason for Security Concerns,USA,Male,128,1,2023-04-01,Age 45-54,Security Concerns
5826543913481724,Reason for Better alternatives,Spain,Male,107,1,2023-02-01,Age 55+,Better alternatives
6385524277046155,Reason for Account Suspension Issues,USA,Male,123,1,2023-02-01,Age 55+,Account Suspension Issues
9551094917371939,Reason for Unclassified,UK,Male,132,0,2023-01-01,Age 18-24,Unclassified
8860436641784907,Reason for Security Concerns,Australia,Female,109,1,2023-05-01,Age 25-34,Security Concerns
3751393639955472,Reason for Unclear terms,USA,Male,113,1,2023-05-01,Age 45-54,Unclear terms
8980966836036039,Reason for General sentiment,France,Male,118,0,2023-04-01,Age 45-54,General sentiment
7825169803648293,Reason for Security Concerns,Australia,Male,124,0,2023-03-01,Age 18-24,Security Concerns
5397582557130791,Reason for Lack of need,Australia,Male,113,0,2023-01-01,Age 55+,Lack of need
8896556315515633,Reason for High interest rates,USA,Female,119,0,2023-06-01,Age 18-24,High interest rates
6331180368234599,Reason for Negative Customer Service Experiences,Sweden,Female,109,0,2023-05-01,Age 18-24,Negative Customer Service Experiences
7203136565416755,Reason for Lack of need,USA,Female,123,1,2023-01-01,Age 55+,Lack of need
6710274770420132,Reason for Better alternatives,UK,Male,123,1,2023-02-01,Age 45-54,Better alternatives
1578360260957672,Reason for Unclassified,Spain,Male,113,1,2023-02-01,Age 25-34,Unclassified
5536841107135674,Reason for High interest rates,Germany,Male,126,0,2023-04-01,Age 18-24,High interest rates
2084938359906217,Reason for Unclassified,Australia,Female,105,0,2023-05-01,Age 45-54,Unclassified
4611156135847943,Reason for Better alternatives,USA,Male,112,0,2023-02-01,Age 25-34,Better alternatives
9836741225355382,Reason for Unclassified,Italy,Male,114,0,2023-01-01,Age 55+,Unclassified
4265168011281855,Reason for Technical Issues,Italy,Female,121,1,2023-06-01,Age 18-24,Technical Issues
5535779500974324,Reason for Limited acceptance,France,Male,123,1,2023-05-01,Age 18-24,Limited acceptance
9218119187560839,Reason for Limited acceptance,USA,Female,102,1,2023-05-01,Age 18-24,Limited acceptance
8637105063238340,Reason for Technical Issues,Sweden,Male,94,0,2023-04-01,Age 55+,Technical Issues
7042683639555277,Reason for Better alternatives,UK,Female,116,0,2023-06-01,Age 18-24,Better alternatives
9188137118990546,Reason for Hard Credit Checks,Sweden,Male,132,1,2023-04-01,Age 18-24,Hard Credit Checks
9377503231172194,Reason for Unclear terms,Sweden,Male,113,1,2023-02-01,Age 25-34,Unclear terms
7849113709815819,Reason for Account Suspension Issues,Italy,Male,106,0,2023-05-01,Age 45-54,Account Suspension Issues
4028514313146124,Reason for General sentiment,Spain,Female,129,1,2023-01-01,Age 18-24,General sentiment
3769813849177335,Reason for Limited acceptance,Spain,Male,127,1,2023-01-01,Age 35-44,Limited acceptance
5289652860539870,Reason for Security Concerns,Sweden,Male,129,0,2023-03-01,Age 35-44,Security Concerns
3513234119342100,Reason for Better alternatives,Italy,Female,115,1,2023-02-01,Age 55+,Better alternatives
1878422299988383,Reason for High interest rates,Spain,Female,134,0,2023-03-01,Age 25-34,High interest rates
5560953326742096,Reason for Hard Credit Checks,Germany,Male,114,1,2023-05-01,Age 55+,Hard Credit Checks
8570823039053686,Reason for Better alternatives,Sweden,Female,114,0,2023-05-01,Age 55+,Better alternatives
6326632693415315,Reason for Account Suspension Issues,UK,Female,128,1,2023-02-01,Age 45-54,Account Suspension Issues
1652081915129409,Reason for Late payment penalties,Italy,Female,136,0,2023-01-01,Age 25-34,Late payment penalties
6399024390950544,Reason for Account Suspension Issues,Italy,Male,105,0,2023-01-01,Age 55+,Account Suspension Issues
1154899642166829,Reason for General sentiment,France,Female,129,0,2023-03-01,Age 35-44,General sentiment
4641545224678573,Reason for Negative Customer Service Experiences,France,Female,129,1,2023-05-01,Age 35-44,Negative Customer Service Experiences
4629449044842735,Reason for Hard Credit Checks,Italy,Female,121,0,2023-03-01,Age 55+,Hard Credit Checks
3851646189899339,Reason for Lack of need,Spain,Female,114,0,2023-03-01,Age 25-34,Lack of need
9246096275348846,Reason for Better alternatives,Italy,Female,137,1,2023-03-01,Age 18-24,Better alternatives
8136822524843660,Reason for Late payment penalties,UK,Female,117,0,2023-05-01,Age 35-44,Late payment penalties
9943009628969075,Reason for Better alternatives,Italy,Female,111,1,2023-06-01,Age 25-34,Better alternatives
9454915068136456,Reason for Account Suspension Issues,Spain,Male,113,0,2023-06-01,Age 55+,Account Suspension Issues
5539212097141926,Reason for Lack of need,Germany,Female,140,0,2023-03-01,Age 18-24,Lack of need
1812784546630361,Reason for Better alternatives,Germany,Female,124,1,2023-03-01,Age 25-34,Better alternatives
1936137359032818,Reason for Unclassified,Spain,Female,131,0,2023-03-01,Age 45-54,Unclassified
5881553247209707,Reason for Hard Credit Checks,UK,Male,136,1,2023-05-01,Age 25-34,Hard Credit Checks
